id,name,anchor_type,sub_type,protection_level,town,lng,lat,cmi_raw_mentions,cmi_direct_degree,cmi_freq_component,cmi_degree_component,cmi,oai,poi_count_500m,avg_rating_500m,review_total_500m,thi,mi,mi_category,entity_hit_sample,poi_hit_sample
ANC_0070,良二千石牌坊,不可移动文物,古建筑,省级文物保护单位,九江镇,113.003731,22.837996,6.0,8,30.25,35.29,32.26,75.0,36,3.5,0.0,38.21,-15.42,一般耦合区,牌坊|石牌坊,九江镇下西上基文化楼|佛山市始一书院|好万家购物广场(九江店)|伊蕾名店(好万家购物广场东南)|摩登米兰购物广场
ANC_0008,佛子庙镇头遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.961564,22.912037,3.0,1,21.55,11.13,17.38,75.0,2,4.0,1.0,31.28,-14.91,一般耦合区,佛子庙,宝莲寺|宝莲禅院
ANC_0048,铁屎墩冶炼遗址,不可移动文物,古遗址,市级文物保护单位,西樵镇,112.922117,22.955526,0.0,0,0.0,0.0,0.0,50.0,4,0.0,0.0,10.39,-14.61,一般耦合区,,读书驿站(西樵百西社区站)|大地公园|大地塱文化楼|百西桥头
ANC_0068,崔氏大宗祠,不可移动文物,古建筑,省级文物保护单位,九江镇,113.029806,22.91457,12.0,9,39.87,36.98,38.72,75.0,9,4.25,2.0,44.31,-12.55,一般耦合区,大宗祠|宗祠|崔氏大宗祠,沙头文体公园|黄佰祥武术馆|粤韵观赏鱼|圣母殿|龙一村文化楼
NH_0030,华岳心意六合八法拳,非遗项目,传统体育,市级非物质文化遗产代表性项目,大沥镇,113.130838,23.086751,0.0,0,0.0,0.0,0.0,50.0,6,0.0,0.0,12.57,-12.43,一般耦合区,,奇槎桥|桥头肠粉店|勒西公园|桥头大烧鹅|大沥奇槎水桥粮油杂货综合店
ANC_0054,九龙岩摩崖石刻,不可移动文物,石窟寺及石刻,市级文物保护单位,西樵镇,112.977822,22.916936,12.0,3,39.87,22.26,32.83,50.0,6,3.1,1.0,32.92,-8.5,一般耦合区,九龙岩|摩崖石刻|石刻,四峰书院遗址|三孔桥|石燕岩-休息亭|冬菇石|西樵环山花海
ANC_0075,魁星塔,不可移动文物,古建筑,市级文物保护单位,九江镇,113.023983,22.841656,0.0,0,0.0,0.0,0.0,50.0,12,0.0,0.0,16.56,-8.44,一般耦合区,,红桥文化楼|红桥大厦|红桥B座|红桥大厦停车场(出入口)|红桥大厦停车场
ANC_0078,冯氏家族墓,不可移动文物,古墓葬,市级文物保护单位,九江镇,113.030182,22.910187,0.0,0,0.0,0.0,0.0,50.0,13,0.0,0.0,17.04,-7.96,一般耦合区,,水南周家祠堂|深嘉里公园|粤韵观赏鱼|内蒙古专线呼和浩特|圣母殿
NH_0011,金箔锻造技艺,非遗项目,传统技艺,省级非物质文化遗产代表性项目,大沥镇,113.191017,23.130139,2.0,4,17.08,25.85,20.59,75.0,10,4.3,1.0,40.94,-6.85,一般耦合区,金箔锻造技艺,一越搏击格斗馆|沙溪公园(西南门)|南海区大沥镇乡村学校少年宫|韵达快递物流(韵达黄岐万达广场分部)|停车场(公园路)
ANC_0007,富贤遗址,不可移动文物,古遗址,省级文物保护单位,西樵镇,112.99099,22.914314,0.0,0,0.0,0.0,0.0,75.0,1,4.5,1.0,30.79,-6.71,一般耦合区,,南山艺术馆
