entity_name,entity_type,mentions,source_count,lng,lat,town,match_source,match_id
观音堂铺,D3 历史街区与传统片区,3,2,113.039085,22.827966,丹灶镇,poi_contain,B02F507CAF
南园,B4 古遗址与生产遗存类,3,3,113.142098,23.03776,桂城街道,poi_exact,B0FFH2DI8F
花王庙,B2 宗教建筑类,3,2,113.191216,23.137553,里水镇,poi_exact,B02F506WL9
南海大沥,D2 镇街圩市空间,3,3,113.103797,23.115744,大沥镇,poi_contain,B0FFJRS0UB
何氏大宗祠,B1 古建筑类,3,3,113.028958,23.190678,狮山镇,poi_exact,B0FFH3ZEI7
广州市,D2 镇街圩市空间,3,3,113.184911,23.115703,里水镇,poi_contain,B0FFHHGWHM
黄君壁纪念馆,B3 纪念性建筑与名人故居类,3,2,112.946325,22.924316,西樵镇,poi_exact,B02F5076FC
太史第,B3 纪念性建筑与名人故居类,3,2,112.93488,23.047074,丹灶镇,poi_exact,B0HRV7T4XT
石围塘,D2 镇街圩市空间,3,3,113.191922,23.099975,里水镇,poi_contain,B0FFFRRRRD
念诚书院,B1 古建筑类,3,1,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
沙口,D2 镇街圩市空间,3,3,113.03098,22.815342,九江镇,poi_contain,B0FFFENUBA
桥头遗址,B4 古遗址与生产遗存类,3,2,113.158265,23.113942,里水镇,poi_contain,B02F507U1P
上沙,D2 镇街圩市空间,3,2,113.161547,23.155976,里水镇,poi_contain,B0FFH3Y6JT
永安路,D3 历史街区与传统片区,3,3,113.193705,23.025651,桂城街道,poi_contain,B0H01LRHPR
工人文化宫,D4 传承场所与活动场地,3,2,113.01039,23.117597,狮山镇,poi_contain,B0L23G4700
黎涌,D2 镇街圩市空间,3,3,112.985205,22.959168,丹灶镇,poi_contain,B0FFKYMLRV
图书馆,D4 传承场所与活动场地,3,1,113.033048,23.161598,狮山镇,poi_contain,B02F50XHJX
南海文化馆,D4 传承场所与活动场地,3,1,113.141115,23.024813,桂城街道,poi_exact,B02F501IFU
云泳书院,B1 古建筑类,3,2,113.10216,23.18814,大沥镇,poi_contain,B0FFIZSDND
梁氏大宗祠,B1 古建筑类,3,2,113.131515,23.153857,里水镇,poi_exact,B0LGTX12VB
盐步区,D2 镇街圩市空间,3,3,113.168268,23.092854,大沥镇,poi_contain,B0FFHW900T
官山市,D2 镇街圩市空间,3,1,113.003022,22.952411,西樵镇,poi_contain,
四面佛,B2 宗教建筑类,3,1,112.977661,22.932561,西樵镇,poi_exact,B0FFMBZY55
联新,B6 古村落与聚落遗产类,3,1,112.964811,22.97704,西樵镇,poi_contain,
显岗,D2 镇街圩市空间,3,1,112.989005,22.8971,丹灶镇,poi_contain,B0FFGH1VIK
河清,D2 镇街圩市空间,3,3,112.950837,22.858347,九江镇,poi_contain,
百西,B6 古村落与聚落遗产类,3,2,112.919749,22.95718,西樵镇,poi_contain,B0G1OHFR9Z
爱国村,B6 古村落与聚落遗产类,3,1,112.968638,22.945047,西樵镇,poi_contain,
谭氏宗祠,B1 古建筑类,3,1,113.15614,23.236106,里水镇,poi_exact,B0FFH4AE58
祖仁村,B6 古村落与聚落遗产类,3,1,112.942014,22.954692,西樵镇,poi_contain,BV11371983
潘氏宗祠,B1 古建筑类,3,1,113.17906,23.080363,里水镇,poi_exact,B0FFFZ1P4M
东坊村,B6 古村落与聚落遗产类,3,1,112.90129,23.108071,狮山镇,poi_contain,B0GUR9PG3W
高明,D2 镇街圩市空间,3,3,112.915462,22.881923,西樵镇,poi_contain,B0FFLJETF1
大同乡,D2 镇街圩市空间,3,3,112.899757,23.023353,丹灶镇,poi_contain,B02F5076XX
灶岗,D3 历史街区与传统片区,3,2,113.122619,23.255619,里水镇,poi_contain,B0LAKXNTKA
戴氏大宗祠,B1 古建筑类,3,2,112.986359,22.891454,西樵镇,poi_exact,B0FFHKW8UF
柏山村,B6 古村落与聚落遗产类,3,2,112.990998,22.885899,丹灶镇,poi_contain,
邓氏宗祠,B1 古建筑类,3,2,113.089517,23.069873,大沥镇,poi_exact,B0FFL2KTAZ
西樵官山圩,D2 镇街圩市空间,3,1,113.003022,22.952411,西樵镇,poi_contain,
林村,B6 古村落与聚落遗产类,3,3,113.161515,23.19654,里水镇,poi_contain,B0FFLC3BRE
玉池,B4 古遗址与生产遗存类,3,2,112.968793,22.920113,西樵镇,poi_exact,B0FFFWJTPT
湛子洞,B5 石刻碑记类,3,2,112.97341,22.920166,西樵镇,poi_exact,B0FFG26KZA
天窗格,B4 古遗址与生产遗存类,3,3,112.980606,22.92388,西樵镇,poi_exact,B0FFG2CQF3
云谷,D1 山川水系空间,3,2,112.975282,22.922947,西樵镇,poi_contain,B0FFHHJXUH
罗行,D2 镇街圩市空间,3,3,112.946444,23.031646,丹灶镇,poi_contain,B0FFLFETDO
