record_id,source_file,source_type,resource_class,sub_class,level,name,era,address,town,target_geometry,lng,lat,spatial_method,spatial_confidence,matched_existing_anchor,matched_poi,dedup_status,dedup_match,centroid_town
IH_0167,不可移动文物Excel.xls,不可移动文物,近现代重要史迹及代表性建筑,其他近现代代表性建筑,尚未核定公布为文物保护单位的不可移动文物,西头生产队旧址,近现代,广东省佛山市南海区狮山镇谭边社区居委会西头村西头街一巷2号,狮山镇,point,113.030542,23.122685,address_token_centroid,0.72,,狮山 (876 points),new_candidate,,狮山镇
IH_0168,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,旋湾李氏大宗祠,清代,广东省佛山市南海区狮山镇横岗社区居委会旋湾村街前2号,狮山镇,point,113.015703,23.041153,poi_name_fuzzy,0.84,,李氏大宗祠,new_candidate,,狮山镇
IH_0169,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,湖马陈氏宗祠,清代,广东省佛山市南海区大沥镇沥北社区居委会湖马村大街启明里15号侧,大沥镇,point,113.146747,23.131128,poi_name_fuzzy,0.84,,陈氏宗祠,new_candidate,,大沥镇
IH_0170,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,坎东孔氏宗祠,清代,广东省佛山市南海区大沥镇沥北社区居委会坎东村朝阳街祠前北巷1号侧,大沥镇,point,113.124705,23.157129,poi_name_fuzzy,0.84,,孔氏宗祠,new_candidate,,里水镇
IH_0171,不可移动文物Excel.xls,不可移动文物,古建筑,学堂书院（及其他文化教育建筑）,尚未核定公布为文物保护单位的不可移动文物,抱伦秋池公书舍,清代,广东省佛山市南海区大沥镇沥北社区居委会抱伦村武城祠道8号,大沥镇,point,113.145463,23.118352,town_representative_point,0.38,,,new_candidate,,大沥镇
IH_0172,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,抱伦宗圣公家庙,清代,广东省佛山市南海区大沥镇沥北社区居委会抱伦村武城祠道2号,大沥镇,point,113.103535,23.121597,poi_name_fuzzy,0.84,,宗圣公家庙,new_candidate,,大沥镇
IH_0173,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,坎南梁氏宗祠,清代,广东省佛山市南海区大沥镇沥北社区居委会坎南村坎南大街1巷1号侧,大沥镇,point,113.125926,23.13648,poi_name_fuzzy,0.84,,梁氏宗祠,new_candidate,,大沥镇
IH_0174,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,雅窑黄氏宗祠,"明代,清代",广东省佛山市南海区大沥镇雅瑶社区居委会东约村中环街六巷2号侧,大沥镇,point,113.105668,23.206358,poi_name_fuzzy,0.84,,黄氏宗祠,new_candidate,,里水镇
IH_0175,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,岗东何氏宗祠,清代,广东省佛山市南海区大沥镇雅瑶社区居委会岗东村大街13号侧,大沥镇,point,112.961625,22.967047,poi_name_fuzzy,0.84,,何氏宗祠,new_candidate,,西樵镇
IH_0176,不可移动文物Excel.xls,不可移动文物,古建筑,坛庙祠堂,尚未核定公布为文物保护单位的不可移动文物,罗城林氏宗祠,清代,广东省佛山市南海区大沥镇雅瑶社区居委会罗城村大街南八巷7号,大沥镇,point,113.146761,23.234524,poi_name_fuzzy,0.84,,林氏宗祠,new_candidate,,里水镇
