ix,iy,clng,clat,town,official_count,immovable_count,museum_count,historical_area_count,historical_street_count
15,29,112.90775,22.93075,西樵镇,1,0,0,1,0
15,30,112.90775,22.93525,西樵镇,1,0,0,1,0
15,31,112.90775,22.93975,西樵镇,1,0,0,1,0
15,32,112.90775,22.94425,西樵镇,1,0,0,1,0
15,33,112.90775,22.94875,西樵镇,1,0,0,1,0
15,34,112.90775,22.95325,西樵镇,1,0,0,1,0
15,35,112.90775,22.95775,西樵镇,1,0,0,1,0
15,36,112.90775,22.96225,西樵镇,1,0,0,1,0
15,37,112.90775,22.96675,西樵镇,1,0,0,1,0
15,38,112.90775,22.97125,西樵镇,1,0,0,1,0
15,39,112.90775,22.97575,西樵镇,1,0,0,1,0
15,40,112.90775,22.98025,西樵镇,1,0,0,1,0
15,41,112.90775,22.98475,西樵镇,6,5,0,1,0
15,42,112.90775,22.98925,西樵镇,5,4,0,1,0
15,43,112.90775,22.99375,西樵镇,3,2,0,1,0
15,44,112.90775,22.99825,西樵镇,1,0,0,1,0
15,45,112.90775,23.00275,丹灶镇,0,0,0,0,0
15,46,112.90775,23.00725,丹灶镇,0,0,0,0,0
15,47,112.90775,23.01175,丹灶镇,0,0,0,0,0
15,48,112.90775,23.01625,丹灶镇,0,0,0,0,0
15,49,112.90775,23.02075,丹灶镇,3,1,0,1,0
15,50,112.90775,23.02525,丹灶镇,0,0,0,0,0
15,51,112.90775,23.02975,丹灶镇,0,0,0,0,0
15,52,112.90775,23.03425,丹灶镇,0,0,0,0,0
15,53,112.90775,23.03875,丹灶镇,0,0,0,0,0
15,54,112.90775,23.04325,丹灶镇,0,0,0,0,0
15,55,112.90775,23.04775,丹灶镇,0,0,0,0,0
15,56,112.90775,23.05225,丹灶镇,0,0,0,0,0
15,57,112.90775,23.05675,丹灶镇,0,0,0,0,0
15,58,112.90775,23.06125,丹灶镇,0,0,0,0,0
15,59,112.90775,23.06575,丹灶镇,0,0,0,0,0
15,60,112.90775,23.07025,丹灶镇,0,0,0,0,0
15,61,112.90775,23.07475,丹灶镇,0,0,0,0,0
15,62,112.90775,23.07925,丹灶镇,0,0,0,0,0
15,63,112.90775,23.08375,丹灶镇,0,0,0,0,0
15,64,112.90775,23.08825,丹灶镇,0,0,0,0,0
15,65,112.90775,23.09275,丹灶镇,0,0,0,0,0
15,66,112.90775,23.09725,丹灶镇,0,0,0,0,0
15,67,112.90775,23.10175,丹灶镇,0,0,0,0,0
15,68,112.90775,23.10625,丹灶镇,0,0,0,0,0
15,69,112.90775,23.11075,丹灶镇,0,0,0,0,0
15,71,112.90775,23.11975,丹灶镇,0,0,0,0,0
15,72,112.90775,23.12425,丹灶镇,0,0,0,0,0
15,73,112.90775,23.12875,丹灶镇,2,1,0,0,0
15,74,112.90775,23.13325,丹灶镇,2,1,0,0,0
15,75,112.90775,23.13775,狮山镇,0,0,0,0,0
15,76,112.90775,23.14225,狮山镇,0,0,0,0,0
16,12,112.91225,22.85425,未标注,0,0,0,0,0
16,13,112.91225,22.85875,西樵镇,1,0,0,1,0
16,20,112.91225,22.89025,西樵镇,1,0,0,1,0
16,21,112.91225,22.89475,西樵镇,1,0,0,1,0
16,22,112.91225,22.89925,西樵镇,1,0,0,1,0
16,23,112.91225,22.90375,西樵镇,1,0,0,1,0
16,24,112.91225,22.90825,西樵镇,1,0,0,1,0
16,25,112.91225,22.91275,西樵镇,1,0,0,1,0
16,26,112.91225,22.91725,西樵镇,1,0,0,1,0
16,27,112.91225,22.92175,西樵镇,1,0,0,1,0
16,28,112.91225,22.92625,西樵镇,1,0,0,1,0
16,29,112.91225,22.93075,西樵镇,1,0,0,1,0
16,30,112.91225,22.93525,西樵镇,1,0,0,1,0
16,31,112.91225,22.93975,西樵镇,1,0,0,1,0
16,32,112.91225,22.94425,西樵镇,1,0,0,1,0
16,33,112.91225,22.94875,西樵镇,1,0,0,1,0
16,34,112.91225,22.95325,西樵镇,1,0,0,1,0
16,35,112.91225,22.95775,西樵镇,2,1,0,1,0
16,36,112.91225,22.96225,西樵镇,1,0,0,1,0
16,37,112.91225,22.96675,西樵镇,1,0,0,1,0
16,38,112.91225,22.97125,西樵镇,1,0,0,1,0
16,39,112.91225,22.97575,西樵镇,1,0,0,1,0
